job_title,experience_level,salary_in_usd,employee_residence,ppp_2024,salary_ppp_adjusted
Data Engineer,SE,137500,US,1.0,137500.0
Data Engineer,SE,81500,US,1.0,81500.0
Data Science,EX,209700,US,1.0,209700.0
Data Science,EX,161300,US,1.0,161300.0
Data Scientist,SE,249000,US,1.0,249000.0
Data Scientist,SE,216000,US,1.0,216000.0
Data Engineer,SE,170040,US,1.0,170040.0
Data Engineer,SE,113360,US,1.0,113360.0
Machine Learning Operations Engineer,MI,178250,US,1.0,178250.0
Machine Learning Operations Engineer,MI,110500,US,1.0,110500.0
Data Analyst,EN,83300,US,1.0,83300.0
Data Analyst,EN,47500,US,1.0,47500.0
Data Scientist,SE,200000,US,1.0,200000.0
Data Scientist,SE,148500,US,1.0,148500.0
Data Architect,SE,138000,US,1.0,138000.0
Data Architect,SE,120000,US,1.0,120000.0
Research Scientist,SE,250000,US,1.0,250000.0
Research Scientist,SE,200000,US,1.0,200000.0
Data Engineer,SE,110000,US,1.0,110000.0
Data Engineer,SE,90000,US,1.0,90000.0
Data Engineer,MI,142000,US,1.0,142000.0
Data Engineer,MI,129500,US,1.0,129500.0
Data Product Manager,MI,210554,US,1.0,210554.0
Data Product Manager,MI,131596,US,1.0,131596.0
Data Engineer,SE,170000,US,1.0,170000.0
Data Engineer,SE,130000,US,1.0,130000.0
Data Engineer,SE,159550,US,1.0,159550.0
Data Engineer,SE,113000,US,1.0,113000.0
Data Engineer,MI,135000,US,1.0,135000.0
Data Engineer,MI,100000,US,1.0,100000.0
Machine Learning Engineer,MI,245400,US,1.0,245400.0
Machine Learning Engineer,MI,139000,US,1.0,139000.0
Data Engineer,SE,190000,US,1.0,190000.0
Data Engineer,SE,167000,US,1.0,167000.0
Machine Learning Engineer,SE,304000,US,1.0,304000.0
Machine Learning Engineer,SE,244000,US,1.0,244000.0
Data Analyst,EN,62500,US,1.0,62500.0
Data Analyst,EN,55000,US,1.0,55000.0
Data Scientist,SE,247600,US,1.0,247600.0
Data Scientist,SE,127300,US,1.0,127300.0
Data Science,SE,210000,US,1.0,210000.0
Data Science,SE,170000,US,1.0,170000.0
Applied Scientist,MI,222200,US,1.0,222200.0
Applied Scientist,MI,136000,US,1.0,136000.0
Research Analyst,MI,200000,US,1.0,200000.0
Research Analyst,MI,151300,US,1.0,151300.0
Data Scientist,MI,110000,US,1.0,110000.0
Data Scientist,MI,90000,US,1.0,90000.0
Data Analyst,EN,156000,US,1.0,156000.0
Data Analyst,EN,94000,US,1.0,94000.0
Research Scientist,MI,212800,US,1.0,212800.0
Research Scientist,MI,124100,US,1.0,124100.0
Analytics Engineer,MI,195000,US,1.0,195000.0
Analytics Engineer,MI,140000,US,1.0,140000.0
Data Management Analyst,SE,199068,US,1.0,199068.0
Data Management Analyst,SE,150000,US,1.0,150000.0
Data Science,EX,250900,US,1.0,250900.0
Data Science,EX,173100,US,1.0,173100.0
Data Analyst,MI,95000,US,1.0,95000.0
Data Analyst,MI,80000,US,1.0,80000.0
Data Engineer,SE,138000,US,1.0,138000.0
Data Engineer,SE,86000,US,1.0,86000.0
AI Engineer,SE,186754,US,1.0,186754.0
AI Engineer,SE,101000,US,1.0,101000.0
Data Scientist,SE,234000,US,1.0,234000.0
Data Scientist,SE,146000,US,1.0,146000.0
Research Scientist,MI,96200,US,1.0,96200.0
Research Scientist,MI,69800,US,1.0,69800.0
Encounter Data Management Professional,SE,96200,US,1.0,96200.0
Encounter Data Management Professional,SE,69800,US,1.0,69800.0
Business Intelligence,SE,170000,US,1.0,170000.0
Business Intelligence,SE,150000,US,1.0,150000.0
Data Engineer,MI,157500,US,1.0,157500.0
Data Engineer,MI,149900,US,1.0,149900.0
Data Analyst,SE,169000,US,1.0,169000.0
Data Analyst,SE,105000,US,1.0,105000.0
Data Engineer,SE,148017,US,1.0,148017.0
Data Engineer,SE,87069,US,1.0,87069.0
Data Analytics Specialist,MI,130000,US,1.0,130000.0
Data Analytics Specialist,MI,91000,US,1.0,91000.0
Data Analyst,SE,149925,US,1.0,149925.0
Data Analyst,SE,91260,US,1.0,91260.0
ML Engineer,SE,185000,US,1.0,185000.0
ML Engineer,SE,25000,US,1.0,25000.0
Data Scientist,SE,155000,US,1.0,155000.0
Data Scientist,SE,120000,US,1.0,120000.0
ML Engineer,SE,209700,US,1.0,209700.0
ML Engineer,SE,144600,US,1.0,144600.0
Data Architect,SE,175000,US,1.0,175000.0
Data Architect,SE,117000,US,1.0,117000.0
Data Analyst,MI,77280,US,1.0,77280.0
Data Analyst,MI,58000,US,1.0,58000.0
Data Engineer,SE,170200,US,1.0,170200.0
Data Engineer,SE,125800,US,1.0,125800.0
Data Architect,SE,202730,US,1.0,202730.0
Data Architect,SE,92118,US,1.0,92118.0
Data Analyst,MI,125000,US,1.0,125000.0
Data Analyst,MI,100000,US,1.0,100000.0
Applied Scientist,SE,200000,US,1.0,200000.0
Applied Scientist,SE,160000,US,1.0,160000.0
Data Scientist,MI,157144,US,1.0,157144.0
Data Scientist,MI,93101,US,1.0,93101.0
Applied Scientist,SE,260000,US,1.0,260000.0
Applied Scientist,SE,136000,US,1.0,136000.0
Machine Learning Engineer,SE,189000,US,1.0,189000.0
Machine Learning Engineer,SE,145400,US,1.0,145400.0
Data Engineer,SE,154000,US,1.0,154000.0
Data Engineer,SE,103000,US,1.0,103000.0
Head of Data,EX,223000,US,1.0,223000.0
Head of Data,EX,205000,US,1.0,205000.0
Data Analyst,SE,209000,US,1.0,209000.0
Data Analyst,SE,120000,US,1.0,120000.0
Data Scientist,MI,110000,US,1.0,110000.0
Data Scientist,MI,90000,US,1.0,90000.0
Data Scientist,SE,252000,US,1.0,252000.0
Data Scientist,SE,168000,US,1.0,168000.0
Applied Scientist,MI,222200,US,1.0,222200.0
Applied Scientist,MI,136000,US,1.0,136000.0
Data Analytics Lead,SE,250000,US,1.0,250000.0
Data Scientist,SE,385000,US,1.0,385000.0
Data Scientist,SE,130000,US,1.0,130000.0
Data Scientist,MI,150000,US,1.0,150000.0
Data Scientist,MI,127500,US,1.0,127500.0
Business Intelligence Analyst,EN,142136,US,1.0,142136.0
Business Intelligence Analyst,EN,123596,US,1.0,123596.0
Data Scientist,MI,285200,US,1.0,285200.0
Data Scientist,MI,168600,US,1.0,168600.0
Data Scientist,SE,223500,US,1.0,223500.0
Data Scientist,SE,109100,US,1.0,109100.0
Data Analyst,EN,64500,US,1.0,64500.0
Data Analyst,EN,46500,US,1.0,46500.0
Data Engineer,SE,180500,US,1.0,180500.0
Data Engineer,SE,96200,US,1.0,96200.0
Data Analyst,MI,86940,US,1.0,86940.0
Data Analyst,MI,66000,US,1.0,66000.0
Data Analyst,MI,77280,US,1.0,77280.0
Data Analyst,MI,58000,US,1.0,58000.0
Data Specialist,SE,51772,GB,0.664153,77951.91770570938
Data Specialist,SE,47778,GB,0.664153,71938.24314578116
Data Manager,SE,166000,US,1.0,166000.0
Data Manager,SE,104000,US,1.0,104000.0
Data Analyst,EN,97000,US,1.0,97000.0
Data Analyst,EN,62000,US,1.0,62000.0
Machine Learning Scientist,MI,176000,US,1.0,176000.0
Machine Learning Scientist,MI,72700,US,1.0,72700.0
Research Scientist,EN,170500,US,1.0,170500.0
Research Scientist,EN,123200,US,1.0,123200.0
Machine Learning Engineer,SE,296400,US,1.0,296400.0
Machine Learning Engineer,SE,159600,US,1.0,159600.0
Applied Scientist,SE,158200,US,1.0,158200.0
Applied Scientist,SE,79000,US,1.0,79000.0
Data Scientist,MI,145000,US,1.0,145000.0
Data Scientist,MI,125000,US,1.0,125000.0
Head of Data,EX,230000,US,1.0,230000.0
Head of Data,EX,200000,US,1.0,200000.0
Machine Learning Engineer,SE,278000,US,1.0,278000.0
Machine Learning Engineer,SE,196000,US,1.0,196000.0
Data Engineer,SE,140000,US,1.0,140000.0
Data Engineer,SE,100000,US,1.0,100000.0
Data Scientist,SE,218000,US,1.0,218000.0
Data Scientist,SE,145000,US,1.0,145000.0
Data Analyst,SE,100000,US,1.0,100000.0
Data Analyst,SE,86220,US,1.0,86220.0
Data Engineer,MI,190000,US,1.0,190000.0
Data Engineer,MI,150000,US,1.0,150000.0
Business Intelligence,MI,110000,US,1.0,110000.0
Business Intelligence,MI,95000,US,1.0,95000.0
Data Science,SE,110000,US,1.0,110000.0
Data Science,SE,90000,US,1.0,90000.0
Data Engineer,MI,140000,US,1.0,140000.0
Data Engineer,MI,110000,US,1.0,110000.0
Data Analyst,MI,80000,US,1.0,80000.0
Data Analyst,MI,50000,US,1.0,50000.0
Data Analyst,SE,180000,US,1.0,180000.0
Data Analyst,SE,130000,US,1.0,130000.0
Data Engineer,SE,200000,US,1.0,200000.0
Data Engineer,SE,147000,US,1.0,147000.0
Data Analyst,SE,148000,US,1.0,148000.0
Data Analyst,SE,125000,US,1.0,125000.0
Data Scientist,SE,150000,US,1.0,150000.0
Data Scientist,SE,110000,US,1.0,110000.0
Data Analyst,SE,245400,US,1.0,245400.0
Data Analyst,SE,135800,US,1.0,135800.0
Business Intelligence,EX,200000,US,1.0,200000.0
Business Intelligence,EX,175000,US,1.0,175000.0
Applied Scientist,SE,249700,US,1.0,249700.0
Applied Scientist,SE,156300,US,1.0,156300.0
Data Architect,SE,190000,US,1.0,190000.0
Data Architect,SE,140000,US,1.0,140000.0
Machine Learning Engineer,SE,370000,US,1.0,370000.0
Machine Learning Engineer,SE,220000,US,1.0,220000.0
Machine Learning Engineer,SE,280000,US,1.0,280000.0
Machine Learning Engineer,SE,184000,US,1.0,184000.0
Data Analyst,MI,174000,US,1.0,174000.0
Data Analyst,MI,132000,US,1.0,132000.0
Analytics Engineer,SE,720000,US,1.0,720000.0
Analytics Engineer,SE,170000,US,1.0,170000.0
Machine Learning Engineer,SE,200000,US,1.0,200000.0
Machine Learning Engineer,SE,160000,US,1.0,160000.0
Data Scientist,SE,150000,US,1.0,150000.0
Data Scientist,SE,111000,US,1.0,111000.0
